"Date","Event","Favourite Wins","Underdog Wins"
"Nov 16 2024","UFC 309 | Links: 
                    UFC 309                   (https://www.betmma.tips/mma_event_betting_history.php?Event=1642)",8,4
"Nov 23 2024","UFC Fight Night: Yan vs. Figueiredo | Links: 
                    UFC Fight Night: Yan vs. Figueiredo                   (https://www.betmma.tips/mma_event_betting_history.php?Event=1695)",10,3
"Dec 07 2024","UFC 310 | Links: 
                    UFC 310                   (https://www.betmma.tips/mma_event_betting_history.php?Event=1677)",11,3
"Dec 14 2024","UFC Fight Night: Covington vs. Buckley | Links: 
                    UFC Fight Night: Covington vs. Buckley                   (https://www.betmma.tips/mma_event_betting_history.php?Event=1701)",9,4
"Jan 11 2025","UFC Fight Night: Dern vs. Ribas II | Links: 
                    UFC Fight Night: Dern vs. Ribas II                   (https://www.betmma.tips/mma_event_betting_history.php?Event=1705)",9,5
"Jan 18 2025","UFC 311 | Links: 
                    UFC 311                   (https://www.betmma.tips/mma_event_betting_history.php?Event=1708)",8,5
"Feb 01 2025","UFC Fight Night: Adesanya vs. Imavov | Links: 
                    UFC Fight Night: Adesanya vs. Imavov                   (https://www.betmma.tips/mma_event_betting_history.php?Event=1720)",6,5
"Feb 08 2025","UFC 312 | Links: 
                    UFC 312                   (https://www.betmma.tips/mma_event_betting_history.php?Event=1715)",7,4
"Feb 15 2025","UFC Fight Night: Cannonier vs. Rodrigues | Links: 
                    UFC Fight Night: Cannonier vs. Rodrigues                   (https://www.betmma.tips/mma_event_betting_history.php?Event=1739)",8,4
"Feb 22 2025","UFC Fight Night: Cejudo vs. Song | Links: 
                    UFC Fight Night: Cejudo vs. Song                   (https://www.betmma.tips/mma_event_betting_history.php?Event=1721)",8,4
"Mar 01 2025","UFC Fight Night: Kape vs. Almabayev | Links: 
                    UFC Fight Night: Kape vs. Almabayev                   (https://www.betmma.tips/mma_event_betting_history.php?Event=1722)",6,4
"Mar 08 2025","UFC 313 | Links: 
                    UFC 313                   (https://www.betmma.tips/mma_event_betting_history.php?Event=1728)",5,5
"Mar 22 2025","UFC Fight Night: Edwards vs. Brady | Links: 
                    UFC Fight Night: Edwards vs. Brady                   (https://www.betmma.tips/mma_event_betting_history.php?Event=1716)",6,7
"Mar 29 2025","UFC Fight Night: Moreno vs. Erceg | Links: 
                    UFC Fight Night: Moreno vs. Erceg                   (https://www.betmma.tips/mma_event_betting_history.php?Event=1764)",10,2
"Apr 05 2025","UFC Fight Night: Emmett vs. Murphy | Links: 
                    UFC Fight Night: Emmett vs. Murphy                   (https://www.betmma.tips/mma_event_betting_history.php?Event=1767)",8,4
"Apr 12 2025","UFC 314 | Links: 
                    UFC 314                   (https://www.betmma.tips/mma_event_betting_history.php?Event=1729)",11,2
"Apr 26 2025","UFC Fight Night: Machado Garry vs. Prates | Links: 
                    UFC Fight Night: Machado Garry vs. Prates                   (https://www.betmma.tips/mma_event_betting_history.php?Event=1754)",13,1
"May 03 2025","UFC Fight Night: Sandhagen vs. Figueiredo | Links: 
                    UFC Fight Night: Sandhagen vs. Figueiredo                   (https://www.betmma.tips/mma_event_betting_history.php?Event=1762)",7,5
"May 10 2025","UFC 315 | Links: 
                    UFC 315                   (https://www.betmma.tips/mma_event_betting_history.php?Event=1749)",7,5
"May 17 2025","UFC Fight Night: Burns vs. Morales | Links: 
                    UFC Fight Night: Burns vs. Morales                   (https://www.betmma.tips/mma_event_betting_history.php?Event=1794)",10,1
"May 31 2025","UFC Fight Night: Gamrot vs. Klein | Links: 
                    UFC Fight Night: Gamrot vs. Klein                   (https://www.betmma.tips/mma_event_betting_history.php?Event=1801)",6,3
"Jun 07 2025","UFC 316 | Links: 
                    UFC 316                   (https://www.betmma.tips/mma_event_betting_history.php?Event=1778)",10,3
"Jun 14 2025","UFC Fight Night: Usman vs. Buckley | Links: 
                    UFC Fight Night: Usman vs. Buckley                   (https://www.betmma.tips/mma_event_betting_history.php?Event=1793)",9,3
"Jun 21 2025","UFC Fight Night: Hill vs. Rountree | Links: 
                    UFC Fight Night: Hill vs. Rountree                   (https://www.betmma.tips/mma_event_betting_history.php?Event=1783)",7,5
"Jun 28 2025","UFC 317 | Links: 
                    UFC 317                   (https://www.betmma.tips/mma_event_betting_history.php?Event=1800)",8,3
